X Coordinate,Y Coordinate
0,465
2,466
11,464
22,462
53,458
84,429
111,432
119,424
121,426
127,417
134,405
138,401
141,397
141,396
153,399
153,398
153,393
153,386
159,387
166,388
168,390
183,400
198,407
200,407
203,403
210,402
215,406
221,411
228,413
240,413
248,412
251,409
253,407
253,408
260,406
272,409
275,407
276,409
277,410
284,414
286,422
288,428
294,404
294,377
295,368
299,392
302,420
305,417
307,398
310,392
318,421
334,434
340,415
348,388
360,357
398,383
422,417
438,404
467,385
484,376
484,404
488,433
488,425
499,395
508,379
517,411
519,434
524,413
529,367
541,370
562,410
571,412
574,399
583,375
625,401
634,418
636,421
645,414
650,416
666,417
680,424
709,386
731,355
758,354
787,326
810,345
847,404
874,411
920,393
948,407
958,413
973,413
993,429
1017,468
1018,484
1034,454
1055,428
1077,430
1112,425
1183,373
1228,368
1268,414
1301,425
1335,406
1384,398
1418,414
1435,409
1452,415
1467,441
1471,462
1474,433
1476,418
1487,423
1527,376
1562,332
1585,342
1605,380
1623,410
1655,385
1690,362
1711,391
1731,389
1735,365
1740,392
1747,413
1756,408
1778,415
1793,425
1822,426
1855,411
1892,397
1919,399
1936,421
1960,444
1977,466
2006,486
2018,487
2021,462
2021,404
2022,328
2028,270
2029,236
2035,245
2035,282
2035,345
2037,427
2043,474
2044,483
2047,468
2048,436
2050,407
2053,398
2055,404
2058,409
2060,405
2061,407
2062,406
2062,405
2063,405
2063,405
2063,405
2064,404
2067,404
2073,405
2080,406
2096,406
2104,401
2108,396
2108,393
2121,395
2148,398
2174,401
2207,405
2228,408
2234,408
2239,408
2256,411
2277,413
2300,417
2318,422
2340,417
2348,411
2349,410
2357,407
2375,405
2398,406
2442,409
2455,408
2457,408
2470,406
2489,409
2525,409
2549,413
2565,413
2577,410
2585,406
2587,405
2604,404
2629,407
2654,408
2685,407
2703,405
2707,410
2713,409
2738,409
2766,412
2782,412
2796,412
2806,409
2807,407
2810,403
2822,402
2843,401
2867,404
2891,405
2909,407
2919,407
2922,405
2928,404
2938,408
2940,407
2947,405
2998,413
3080,408
3107,411
3133,409
3161,407
3184,400
3210,391
3224,388
3247,390
3275,394
3303,397
3345,396
3365,389
3383,387
3421,387
3461,405
3475,393
3484,393
3496,392
3670,387
3683,385
3691,389
3701,391
3723,386
3732,381
3737,374
3740,375
3742,377
3743,374
3746,370
3750,367
3760,366
3770,365
3782,367
3793,369
3806,371
3817,379
3833,393
3857,393
3881,386
3896,380
3917,374
3949,364
3972,364
4002,366
4019,368
4037,373
4058,378
4075,383
4109,382
4131,388
4156,387
4168,384
4189,388
4204,379
4219,386
4240,374
4312,363
4356,360
4394,419
4397,424
4399,181
4455,354
4457,358
4461,429
4466,430
4474,427
4474,430
4477,426
4481,431
4482,430
4487,431
4490,427
4492,430
4498,360
4501,396
4504,431
4504,431
4505,432
4509,432
4511,432
4513,434
4514,435
4519,431
4521,435
4522,432
4525,434
4528,434
4529,434
4529,434
4531,433
4532,433
4532,432
4532,432
4533,433
4534,433
4534,432
4535,432
4536,432
4541,432
4544,432
4545,431
4546,431
4549,432
4549,431
4549,431
4552,431
4553,433
4555,432
4556,432
4557,432
4557,432
4557,431
4559,430
4561,431
4561,431
4562,429
4564,431
4564,431
4565,431
4566,431
4569,432
4569,431
4569,433
4570,433
4584,430
4590,430
4606,427
4621,426
4667,365
4779,383
4788,384
4790,383
4791,379
4799,385
4804,387
4820,397
4823,412
4838,438
4845,464
4851,473
4852,495
4970,553
5182,613
5195,639
5200,639
5205,646
5207,649
5214,652
5224,661
5229,680
5245,700
5263,710
5266,714
5309,713
5312,701
5324,696
5336,697
5376,705
5391,712
5609,708
5716,714
5748,709
5768,708
5772,708
5792,704
5818,704
5827,701
5838,694
5851,692
5868,688
5899,686
5899,682
5919,681
6088,630
6185,605
6190,575
6205,544
6223,509
6241,467
6246,433
6278,406
6342,393
6387,360
6451,359
6547,275
6628,295
6702,251
6766,69
6837,490
6872,645
6880,671
6888,651
6901,648
6915,628
6931,650
6954,652
6962,645
6997,433
6997,417
6997,426
6997,424
6997,374
6997,478
6997,437
6998,380
7039,642
7041,661
7048,654
7050,678
7080,450
7081,453
7081,446
7081,506
7082,423
7113,685
7125,658
7151,652
7220,459
7253,642
7255,657
7286,439
7323,627
7333,641
7344,649
7346,637
7348,632
7354,643
7366,636
7372,641
7377,653
7379,665
7411,457
7412,464
7474,641
7500,635
7536,456
7571,671
7575,651
7575,635
7584,668
7588,651
7604,688
7623,666
7623,646
7626,646
7627,673
7636,645
7637,656
7649,643
7654,677
7656,660
7671,671
7684,665
7693,678
7694,693
7694,633
7699,637
7701,651
7713,699
7717,661
7717,674
7720,694
7733,670
